EmployeeNumber,Attrition_Probability
1,0.5700373353743194
2,0.28059899529800225
4,0.6915552156887361
5,0.6746049013372838
7,0.4799997604150224
8,0.2433107647549583
10,0.7661544039469238
11,0.40987202610752127
12,0.21718185886298189
13,0.5228216535020075
14,0.5112768476819302
15,0.6374329563402348
16,0.6143068794852352
18,0.4546111764750358
19,0.805907089564729
20,0.5091472566419155
21,0.7724885051298154
22,0.6982071635162428
23,0.08154897275316746
24,0.6106216572079295
26,0.42507186217726356
27,0.38196466252830885
28,0.23283013779166892
30,0.40877000845264044
31,0.45867313225257733
32,0.08125194674672655
33,0.8724140895732199
35,0.3222422435808499
36,0.18911783178012767
38,0.15878026400862888
39,0.29397373698622886
40,0.6066918452349139
41,0.27074836926266144
42,0.2881770627063224
45,0.7465152625794674
46,0.256375512298288
47,0.7780021664836877
49,0.2959237382775874
51,0.8169437337079328
52,0.3159249126785366
53,0.31595414581392045
54,0.3561766987768053
55,0.5624533842714227
56,0.16865526101542386
57,0.23114080356958605
58,0.23013510318328464
60,0.5824025563928259
61,0.5085708606295526
62,0.6454927358182935
63,0.28881168821969067
64,0.737026135114521
65,0.7365157018274149
68,0.7413323781187456
70,0.7017686538751601
72,0.7435560852423742
73,0.5861538299993149
74,0.3301036983374665
75,0.8599948388220646
76,0.18469099769656022
77,0.2949216363333732
78,0.7678295685856882
79,0.5482905394377021
80,0.4755534872448157
81,0.4810516248385042
83,0.3288353800350109
84,0.3862949971286836
85,0.32730635282446635
86,0.31768195554085427
88,0.4402557055468439
90,0.6824708355276721
91,0.3288378582833866
94,0.3203623031651097
95,0.38143049623565617
96,0.2449932808068368
97,0.3495611830761564
98,0.22697850098718333
100,0.26998782233891117
101,0.5544653575335893
102,0.20413793982899445
103,0.7301934648150186
104,0.5410421115048449
105,0.31183978140271057
106,0.24301669370088236
107,0.5988639045524389
110,0.3957178723224858
112,0.15674199440698544
113,0.4150508377499507
116,0.27099394123538734
117,0.3984822378193658
118,0.21437011417109453
119,0.19093519914141113
120,0.6423999314435679
121,0.6466373441558922
124,0.7179235558166425
125,0.3648820082677007
126,0.16518263628409288
128,0.3390050027608156
129,0.32323966836862467
131,0.03556414012127994
132,0.5766100761222726
133,0.7862064980020501
134,0.3366412024105033
137,0.6775633067946979
138,0.2970555099192295
139,0.2549148240178163
140,0.0895797853624354
141,0.4032802907344828
142,0.6194584634291438
143,0.3065195651533685
144,0.42004615196901857
145,0.5448965725560512
147,0.686381683146416
148,0.5064993689799092
150,0.4532505128714355
151,0.34308278436115913
152,0.1997563930071193
153,0.2494059556603421
154,0.22069270120847884
155,0.38295329693017083
158,0.37069388949734633
159,0.44569656928691315
160,0.35785194319756425
161,0.833507014159444
162,0.2538700578595637
163,0.7869352945771015
164,0.43684437340410576
165,0.19207494935293054
167,0.7886082977573186
169,0.32994887319951816
170,0.38675665040791707
171,0.49168604301752994
174,0.2511372681064449
175,0.8285261330882098
176,0.5561710357318875
177,0.5168232771908557
178,0.36025379496394716
179,0.22716981399120825
182,0.22935973334403678
183,0.4877244805363634
184,0.6138526279229739
190,0.4774268966017574
192,0.3687965588199925
193,0.6687108457002147
194,0.4658621591497744
195,0.20696081680145403
197,0.38405000595266525
198,0.31869009776566365
199,0.2004452880903556
200,0.43382693384963505
201,0.4421697793162977
202,0.3468314142396321
204,0.19278740967330185
205,0.7849659488193459
206,0.27517790058856856
207,0.2380408415189465
208,0.18147663291574065
211,0.3235697728207305
214,0.7901374967317272
215,0.12530054354749035
216,0.3278934963389981
217,0.43919384348109575
218,0.38067732199123655
221,0.3345650547952186
223,0.6213297157481827
224,0.7093570889465951
226,0.14859047033537015
227,0.4416368308322577
228,0.28811224661104234
230,0.209416926648354
231,0.32470756728185474
233,0.7862367359944354
235,0.42329577816302455
238,0.41936294858994766
239,0.4706749080481295
240,0.7193663563412075
241,0.8011220468113209
242,0.28843656125224487
243,0.3798463930192595
244,0.40094938318922285
245,0.3757757134922691
246,0.6836250939925108
247,0.48138951149493525
248,0.8190468068996924
249,0.2671647502096173
250,0.36903160442885274
252,0.33831228999343654
253,0.08964277279574683
254,0.07064577347713741
256,0.12625106892378013
258,0.122574494915116
259,0.06688456148805384
260,0.29406864885667816
261,0.7951157276107594
262,0.3068940066128122
264,0.18304745527653707
267,0.8302597380712652
269,0.3423398435463291
270,0.34075144848652356
271,0.21235777680609325
273,0.2682873932460441
274,0.3930155649434988
275,0.6038322773874114
277,0.712625288184029
281,0.7874984239080459
282,0.8524295352179827
283,0.29995393731476055
284,0.731860335233293
286,0.3972022337698207
287,0.20932560637817527
288,0.19387217108283822
291,0.1897675577463539
292,0.2282919370989429
293,0.19463273829069833
296,0.22366206381478512
297,0.7071076307196122
298,0.4047441926206133
299,0.38931704239640547
300,0.29511666302135525
302,0.2503741061980805
303,0.2439728430923131
304,0.23986754008251177
305,0.37690908308809135
306,0.47537408874598686
307,0.2246844605459939
308,0.2714179037817499
309,0.30423286143557215
311,0.4341793790535605
312,0.2273373479292992
314,0.1581244069599485
315,0.7341603627877654
316,0.3010903905539506
319,0.10274406535035566
321,0.4281588113822881
323,0.04522705464307719
325,0.6907332682300265
327,0.28084523766832475
328,0.4507383359846275
329,0.5034726319388961
330,0.338487991416073
331,0.6188203174144138
332,0.33122022787484595
333,0.4228027815892149
334,0.4807614845217041
335,0.5256297125526413
336,0.03297065441727814
337,0.1996368142580035
338,0.28106777424718177
339,0.3010700928667915
340,0.32885620594108356
341,0.34367613833510263
342,0.30466254261403986
343,0.24191592358768915
346,0.34775527047646304
347,0.7229209728651161
349,0.2468304914010726
350,0.35676184018311236
351,0.8055210883890248
352,0.07784839827296791
353,0.27122247005402067
355,0.5109955321097297
359,0.3667890058429879
361,0.28734854667083487
362,0.3118018378792654
363,0.532632043657839
364,0.38191303241723756
366,0.37569989232293155
367,0.49374395499631596
369,0.4075771804525594
372,0.44973812443027444
373,0.355878235322625
374,0.16134058452950786
376,0.8586093726152852
377,0.25269768531063996
378,0.2198092751930675
379,0.2923165246630254
380,0.48039138842536605
381,0.39440765789268994
382,0.8719128084017698
384,0.23399862801670862
385,0.1154674054583878
386,0.3511411393754382
387,0.3932338190509133
388,0.21207089856286196
389,0.6851121214454723
390,0.8602339506930581
391,0.22613024528553552
392,0.7535924329981295
393,0.3145627616116158
394,0.85665972132607
395,0.23693249402739325
396,0.4814536484816986
397,0.42756861099369203
399,0.35289096806042536
401,0.6773813412991857
403,0.7487534926001254
404,0.2103116615572789
405,0.36743167878988614
406,0.35872715980863
407,0.3607752046265055
408,0.2536960275398445
410,0.049457186850680006
411,0.36768549637021763
412,0.3927074265220309
416,0.3569596393605106
417,0.11357257947952126
419,0.3941573899625254
420,0.2263345816752925
421,0.2987669300927433
422,0.5806656530920329
423,0.6128747418837651
424,0.4231483365830815
425,0.4574369199959098
426,0.6907541145675482
428,0.24463665033395068
429,0.5890679540771661
430,0.29724378983123034
431,0.3890503198846564
433,0.43333131863473906
434,0.7477130404048148
436,0.8354250142578339
437,0.591121799969116
438,0.17059791209159084
439,0.2631458776031092
440,0.7601879460981418
441,0.2707369507378482
442,0.3211762796140926
444,0.13718777024626722
445,0.6060625615743529
446,0.27128354331304083
447,0.08818742527639377
448,0.25742493611534795
449,0.6522418757714006
450,0.29497980014792347
451,0.2590364312108294
452,0.3820116313614775
453,0.5713593810307646
454,0.7900589935982046
455,0.37607523120098524
456,0.1871505160364625
458,0.2984554154778713
460,0.1621471269015475
461,0.5085441672199439
462,0.5972748455059815
463,0.5967997349259092
464,0.15970967242467718
465,0.3842471847717828
466,0.6417085209740235
467,0.38439373366945895
468,0.22965293781760354
469,0.21180963705939782
